STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2006,House Wife,0,0,0,0,0,0,2,994,750,303,107,2156,2156
ANDHRA PRADESH,2006,Service (Government),4,51,84,44,0,183,0,19,26,3,0,48,231
ANDHRA PRADESH,2006,Service (Private),0,157,240,159,20,576,0,30,35,6,0,71,647
ANDHRA PRADESH,2006,Public Sector Undertaking,0,67,69,48,6,190,0,1,10,3,0,14,204
ANDHRA PRADESH,2006,Student,55,216,12,4,0,287,53,168,4,0,0,225,512
ANDHRA PRADESH,2006,Unemployed,0,169,132,70,0,371,0,34,24,0,0,58,429
ANDHRA PRADESH,2006,Self-employed (Business activity),0,263,305,214,60,842,0,15,12,21,4,52,894
ANDHRA PRADESH,2006,Professional Activity,0,66,240,197,49,552,1,12,8,0,1,22,574
ANDHRA PRADESH,2006,Farming/Agriculture Activity,15,505,777,489,214,2000,14,241,210,115,27,607,2607
ANDHRA PRADESH,2006,Others (Please Specify),46,505,651,430,191,1823,71,269,145,83,110,678,2501
ANDHRA PRADESH,2006,Retired Person,0,1,3,9,38,51,0,0,5,0,1,6,57
ANDHRA PRADESH,2006,Others (Please Specify),49,696,765,368,110,1988,54,204,128,49,41,476,2464
ANDHRA PRADESH,2006,Total,169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,13276
ANDHRA PRADESH,2006,Total Salaried,4,275,393,251,26,949,0,50,71,12,0,133,1082
ANDHRA PRADESH,2006,Total Self-employed,61,1339,1973,1330,514,5217,86,537,375,219,142,1359,6576
ARUNACHAL PRADESH,2006,House Wife,0,0,0,0,0,0,0,7,11,3,0,21,21
ARUNACHAL PRADESH,2006,Service (Government),0,2,9,7,0,18,0,0,1,0,0,1,19
ARUNACHAL PRADESH,2006,Service (Private),0,11,12,4,1,28,0,0,0,0,0,0,28
ARUNACHAL PRADESH,2006,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
