StudentID,Gender,Height,Weight,Age
3144076,M,5,62,21
8046964,M,4.5,69,18
7843714,M,5.2,68,20
4036017,M,6.2,49,19
6141936,M,4.8,45,18
4929031,M,5.6,56,18
8326753,M,4.9,80,18
311760,M,4.6,63,27
7516902,M,5.2,75,26
8261118,M,4.8,75,26
7940506,F,6.2,52,27
7583289,F,4.5,71,25
2825795,F,5.9,74,24
8570497,F,5.1,76,28
9910417,F,5.6,77,22
1596235,F,5.9,70,26
620289,F,4.7,71,22
9778010,F,5.6,48,23
222071,M,4.6,77,27
101289,M,5.8,62,24
6145392,M,5.7,53,28
7287561,M,4.9,45,13
9547882,M,4.9,35,12
4293181,F,5.4,49,13
5049198,F,5.3,41,12
871266,F,4.9,47,13
8900872,F,5.1,48,14
6848503,F,5.3,43,13
1129600,F,5,38,14
5546681,M,5.4,39,21
6552804,M,5.4,40,18
9443344,M,5,46,20
8991943,M,4.8,37,19
7147228,M,5.5,43,18
3103269,M,5.3,49,18
546779,M,5.1,43,18
1619123,M,4.9,46,27
9910930,M,4.9,39,26
4872049,M,5.3,44,26
1436066,F,5.2,43,27
6326932,F,4.8,44,25
1402573,F,5.2,46,24
2890695,F,5.3,50,28
5236052,F,5.3,38,22
3216339,F,4.8,39,26
8437586,F,5.3,37,22
403052,F,5.1,46,23
2553240,M,5.3,50,27
7977974,M,5.4,43,24
5698566,M,5.4,37,28
9097635,M,5.3,45,13
4323923,M,5.3,38,12
45983,F,5.3,41,13
9789035,F,5.2,47,12
6110368,F,5,38,13
9301538,F,5,41,14
5001699,F,4.9,37,13
4183021,F,5.1,37,14
6566838,M,4.9,41,21
5872574,M,5.3,49,18
5369978,M,5.5,35,20
2632834,M,5,49,19
9770631,M,4.9,46,18
7167721,M,5.1,49,18
8848807,M,4.9,46,18
2286391,M,4.9,45,27
5472882,M,5.2,38,26
3083545,M,4.8,39,26
3519043,F,5.3,42,27
6234096,F,5.5,36,25
7214038,F,4.9,38,24
8328439,F,5.1,43,28
1427769,F,5,37,22
3451993,F,5.1,38,26
363498,F,4.8,36,22
1558040,F,4.8,39,23
1675064,M,5.2,39,27
8832123,M,5.1,43,24
7461113,M,5.5,42,28
4312151,M,5.1,45,13
3599230,M,5.3,48,12
2025966,F,4.8,43,13
9871113,F,4.8,47,12
4062332,F,5.5,44,13
8522129,F,5.1,48,14
7530989,F,5.1,40,13
512260,F,5.2,50,14
6401016,M,5,36,21
1296521,M,5.3,46,18
8518204,M,5.4,44,20
7375799,M,5.2,47,19
602682,M,5.2,39,18
4464862,M,5,40,18
9904962,M,5.2,38,18
7357050,M,5.2,41,27
3493409,M,5.2,38,26
8902923,M,5.1,40,26
6751738,F,5.4,42,27
771890,F,5,38,25
1245102,F,4.9,36,24
7160916,F,5.3,38,28
5347422,F,5.3,50,22
6830119,F,5.4,44,26
8598055,F,5.3,37,22
2884448,F,4.9,38,23
7045617,M,5.2,44,27
5320582,M,5.3,42,24
5125961,M,4.9,38,28
1592572,M,4.9,38,13
7711397,M,5.2,41,12
2374833,F,5.4,45,13
9167765,F,5.2,48,12
1016385,F,5.2,48,13
8051251,F,5.1,42,14
7698315,F,5,48,13
1857015,F,5.4,46,14
63086,M,5.1,48,21
1620322,M,5.2,45,18
2416843,M,4.8,36,20
1078891,M,4.9,48,19
797696,M,5.4,46,18
4368633,M,5,44,18
2301883,M,5.5,37,18
6322505,M,5.5,42,27
551479,M,5.1,44,26
26038,M,5.3,46,26
7391143,F,4.9,45,27
5110361,F,5.3,48,25
8869574,F,4.8,35,24
4010017,F,4.9,48,28
5219252,F,5.5,43,22
8368795,F,5,49,26
5911406,F,4.9,47,22
605892,F,5.5,38,23
9704586,M,5.3,50,27
9653841,M,5,35,24
5589038,M,5.4,36,28
4970360,M,5.5,41,13
9949705,M,4.9,42,12
2315312,F,5.5,44,13
194237,F,5.2,43,12
1257126,F,5.2,49,13
6665138,F,5.3,42,14
5506676,F,5.3,49,13
8761341,F,5,35,14
8921233,M,5,50,21
6859220,M,5,39,18
3176239,M,5,46,20
7378488,M,5.2,48,19
9036959,M,5.3,48,18
7214371,M,5.5,49,18
1353890,M,5.3,45,18
4042184,M,5.4,35,27
5533334,M,5.2,38,26
3954634,M,5.3,43,26
5430649,F,4.8,45,27
5272202,F,5.4,39,25
3479481,F,4.8,41,24
6180110,F,5.3,50,28
2687578,F,5.1,49,22
8230453,F,4.9,43,26
2099724,F,5,46,22
5121320,F,5.3,40,23
9531574,M,5.1,42,27
6121042,M,5.1,50,24
5327127,M,5.4,38,28
2197657,M,5.1,50,13
2817629,M,5.1,35,12
4769933,F,5,38,13
1592251,F,4.9,37,12
6208669,F,4.8,35,13
2167164,F,5.2,36,14
4424814,F,5,43,13
2990866,F,5.4,46,14
3328792,M,5.3,41,21
4630113,M,5.3,49,18
1491019,M,5,35,20
3168905,M,5.4,39,19
7361913,M,5.5,37,18
120284,M,5.1,39,18
6676109,M,4.8,41,18
3917493,M,5.4,41,27
7742228,M,5.1,39,26
