,STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
0,ANDHRA PRADESH,2001,House Wife,0,0,0,0,0,0,0,1132,811,397,104,2444,2444
1,ANDHRA PRADESH,2001,Service (Government),0,34,57,44,0,135,0,23,22,9,7,61,196
2,ANDHRA PRADESH,2001,Service (Private),1,250,275,138,10,674,5,43,24,28,6,106,780
3,ANDHRA PRADESH,2001,Public Sector Undertaking,0,32,36,29,13,110,0,4,5,1,0,10,120
4,ANDHRA PRADESH,2001,Student,56,202,19,18,0,295,46,115,5,9,0,175,470
5,ANDHRA PRADESH,2001,Unemployed,1,230,206,94,12,543,1,57,12,8,0,78,621
6,ANDHRA PRADESH,2001,Self-employed (Business activity),25,107,223,117,14,486,20,24,22,4,12,82,568
7,ANDHRA PRADESH,2001,Professional Activity,13,118,157,80,22,390,5,22,4,10,0,41,431
8,ANDHRA PRADESH,2001,Farming/Agriculture Activity,16,382,480,374,79,1331,12,65,46,45,10,178,1509
9,ANDHRA PRADESH,2001,Others (Please Specify),29,299,358,264,79,1029,38,212,154,78,16,498,1527
10,ANDHRA PRADESH,2001,Retired Person,0,0,1,4,16,21,0,0,2,0,3,5,26
11,ANDHRA PRADESH,2001,Others (Please Specify),32,404,401,404,124,1365,58,174,91,108,34,465,1830
12,ANDHRA PRADESH,2001,Total,173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,10522
13,ANDHRA PRADESH,2001,Total Salaried,1,316,368,211,23,919,5,70,51,38,13,177,1096
14,ANDHRA PRADESH,2001,Total Self-employed,83,906,1218,835,194,3236,75,323,226,137,38,799,4035
15,ARUNACHAL PRADESH,2001,House Wife,0,0,0,0,0,0,0,9,5,1,0,15,15
16,ARUNACHAL PRADESH,2001,Service (Government),0,5,7,2,0,14,0,0,0,0,0,0,14
17,ARUNACHAL PRADESH,2001,Service (Private),0,12,19,1,0,32,0,5,4,0,0,9,41
18,ARUNACHAL PRADESH,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ARUNACHAL PRADESH,2001,Student,0,2,0,0,0,2,2,4,0,0,0,6,8
20,ARUNACHAL PRADESH,2001,Unemployed,0,2,1,0,0,3,0,0,0,0,0,0,3
21,ARUNACHAL PRADESH,2001,Self-employed (Business activity),0,2,6,3,1,12,0,0,0,0,0,0,12
22,ARUNACHAL PRADESH,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ARUNACHAL PRADESH,2001,Farming/Agriculture Activity,2,1,5,4,0,12,0,5,0,0,0,5,17
24,ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
25,ARUNACHAL PRADESH,2001,Retired Person,0,0,0,1,0,1,0,0,0,0,0,0,1
26,ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
27,ARUNACHAL PRADESH,2001,Total,2,24,38,11,1,76,2,23,9,1,0,35,111
28,ARUNACHAL PRADESH,2001,Total Salaried,0,17,26,3,0,46,0,5,4,0,0,9,55
29,ARUNACHAL PRADESH,2001,Total Self-employed,2,3,11,7,1,24,0,5,0,0,0,5,29
30,ASSAM,2001,House Wife,0,0,0,0,0,0,0,158,161,68,7,394,394
