States/UTs,Year,CrimeHead,Male_below 14 years,Male_14 and above – below 18 years,Male_18 and above – below 30 years,Male_30 and above – below 45 years,Male_45 and above – below 60 years,Male_60 years & above,Male_Total,Female_below 14 years,Female_14 and above – below 18 years,Female_18 and above – below 30 years,Female_30 and above – below 45 years,Female_45 and above – below 60 years,Female_60 years & above,Female_Total,Transgender_below 14 years,Transgender_14 and above – below 18 years,Transgender_18 and above – below 30 years,Transgender_30 and above – below 45 years,Transgender_45 and above – below 60 years,Transgender_60 years & above,Transgender_Total,Grand Total
Andhra Pradesh,2014,Housewife,0,0,0,0,0,0,0,1,8,482,353,154,71,1069,0,0,0,0,0,0,0,1069
Andhra Pradesh,2014,Profession/Salaried Persons (Total),0,2,63,87,32,3,187,0,0,10,2,4,0,16,0,0,0,0,0,0,0,203
Andhra Pradesh,2014,Govt. Servants (Total),0,1,20,34,23,1,79,0,0,7,0,2,0,9,0,0,0,0,0,0,0,88
Andhra Pradesh,2014,Central/UT Govt. Servants,0,0,5,5,5,0,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16
Andhra Pradesh,2014,State Govt. Servants,0,1,12,14,15,1,43,0,0,3,0,2,0,5,0,0,0,0,0,0,0,48
Andhra Pradesh,2014,Other Statutory Body/etc.,0,0,3,15,3,0,21,0,0,3,0,0,0,3,0,0,0,0,0,0,0,24
Andhra Pradesh,2014,Private Sector Enterprises,0,1,40,47,7,2,97,0,0,3,2,2,0,7,0,0,0,0,0,0,0,104
Andhra Pradesh,2014,Public Sector Undertaking,0,0,3,6,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Andhra Pradesh,2014,Students,12,53,90,4,0,0,159,29,105,36,4,0,0,174,0,0,0,0,0,0,0,333
Andhra Pradesh,2014,Unemployed Persons,0,12,93,69,32,3,209,0,1,13,5,4,1,24,0,0,0,0,0,0,0,233
Andhra Pradesh,2014,Self-employed Persons (Total),1,17,296,440,272,77,1103,0,14,42,21,13,6,96,0,0,0,0,0,0,0,1199
Andhra Pradesh,2014,Business (Total),0,6,122,178,96,21,423,0,0,5,4,5,1,15,0,0,0,0,0,0,0,438
Andhra Pradesh,2014,Vendor,0,0,7,3,3,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Andhra Pradesh,2014,Tradesmen,0,0,2,12,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Andhra Pradesh,2014,Others,0,6,113,163,90,18,390,0,0,5,4,5,1,15,0,0,0,0,0,0,0,405
Andhra Pradesh,2014,Agriculture (Total),0,6,142,223,153,49,573,0,9,27,14,6,3,59,0,0,0,0,0,0,0,632
Andhra Pradesh,2014,Agricultural Labourers,0,3,118,166,92,37,416,0,9,26,13,5,3,56,0,0,0,0,0,0,0,472
Andhra Pradesh,2014,Farmers (Sub Total),0,3,24,57,61,12,157,0,0,1,1,1,0,3,0,0,0,0,0,0,0,160
Andhra Pradesh,2014,Have Own Land,0,0,8,28,28,7,71,0,0,0,1,1,0,2,0,0,0,0,0,0,0,73
Andhra Pradesh,2014,On Contract/Lease,0,3,16,29,33,5,86,0,0,1,0,0,0,1,0,0,0,0,0,0,0,87
Andhra Pradesh,2014,Others,1,5,32,39,23,7,107,0,5,10,3,2,2,22,0,0,0,0,0,0,0,129
Andhra Pradesh,2014,Daily Wage Earner,2,10,269,385,185,76,927,3,8,45,29,14,7,106,0,0,0,0,0,0,0,1033
Andhra Pradesh,2014,Retired Persons,0,0,0,1,4,14,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20
Andhra Pradesh,2014,Others,4,65,462,636,321,128,1616,3,48,150,136,38,19,394,0,0,1,0,0,0,1,2011
Andhra Pradesh,2014,Total,19,159,1273,1622,846,301,4220,36,184,779,550,227,104,1880,0,0,1,0,0,0,1,6101
Arunachal Pradesh,2014,Housewife,0,0,0,0,0,0,0,0,3,5,6,0,0,14,0,0,0,0,0,0,0,14
Arunachal Pradesh,2014,Profession/Salaried Persons (Total),0,0,10,12,4,0,26,0,0,3,0,0,0,3,0,0,0,0,0,0,0,29
Arunachal Pradesh,2014,Govt. Servants (Total),0,0,4,9,4,0,17,0,0,2,0,0,0,2,0,0,0,0,0,0,0,19
Arunachal Pradesh,2014,Central/UT Govt. Servants,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,2014,State Govt. Servants,0,0,3,8,3,0,14,0,0,2,0,0,0,2,0,0,0,0,0,0,0,16
Arunachal Pradesh,2014,Other Statutory Body/etc.,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,2014,Private Sector Enterprises,0,0,5,3,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
Arunachal Pradesh,2014,Public Sector Undertaking,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,2014,Students,2,3,8,0,0,0,13,1,6,5,0,0,0,12,0,0,0,0,0,0,0,25
Arunachal Pradesh,2014,Unemployed Persons,1,0,3,3,6,1,14,0,1,5,1,0,0,7,0,0,0,0,0,0,0,21
Arunachal Pradesh,2014,Self-employed Persons (Total),0,0,5,2,1,0,8,1,0,1,0,0,0,2,0,0,0,0,0,0,0,10
Arunachal Pradesh,2014,Business (Total),0,0,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Arunachal Pradesh,2014,Vendor,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,2014,Agriculture (Total),0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,2014,Agricultural Labourers,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2
Arunachal Pradesh,2014,Daily Wage Earner,0,1,8,7,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Arunachal Pradesh,2014,Retired Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Others,1,1,15,10,4,1,32,0,4,3,0,1,0,8,0,0,0,0,0,0,0,40
Arunachal Pradesh,2014,Total,4,5,49,34,16,2,110,2,14,22,7,1,0,46,0,0,0,0,0,0,0,156
Assam,2014,Housewife,0,0,0,0,0,0,0,0,6,189,238,86,3,522,0,0,0,0,0,0,0,522
Assam,2014,Profession/Salaried Persons (Total),0,5,41,60,21,0,127,0,0,0,1,0,0,1,0,0,0,0,0,0,0,128
Assam,2014,Govt. Servants (Total),0,0,2,7,4,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14
Assam,2014,Central/UT Govt. Servants,0,0,1,5,2,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9
Assam,2014,State Govt. Servants,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Assam,2014,Other Statutory Body/etc.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assam,2014,Private Sector Enterprises,0,2,25,16,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Assam,2014,Public Sector Undertaking,0,3,14,37,9,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
Assam,2014,Students,2,99,121,2,0,0,224,1,87,85,0,0,0,173,0,0,0,0,0,0,0,397
Assam,2014,Unemployed Persons,0,0,29,58,23,4,114,0,4,13,3,0,0,20,0,0,0,0,0,0,0,134
Assam,2014,Self-employed Persons (Total),0,50,296,403,210,7,966,0,11,40,17,2,0,70,0,0,0,0,0,0,0,1036
Assam,2014,Business (Total),0,32,217,295,153,5,702,0,4,27,10,2,0,43,0,0,0,0,0,0,0,745
Assam,2014,Vendor,0,12,48,80,42,0,182,0,0,3,3,1,0,7,0,0,0,0,0,0,0,189
Assam,2014,Tradesmen,0,2,39,57,23,0,121,0,0,3,0,0,0,3,0,0,0,0,0,0,0,124
